llm,round,avg_bleu_score,avg_chrF_score,avg_ter_test,avg_bert_score_f1,sample_count
llama3_1b,1,4.101913925830049,11.750306768270192,117.5208719851577,0.6721456277370453,40
llama3_1b,2,6.29855574132186,10.021911459331948,109.45502645502647,0.8404728710651398,20
llama3_1b,3,2.1128178813226106,10.886595571460589,139.11111111111111,0.8123103241125742,20
llama3_1b,4,2.8383032557579964,9.989554729114397,116.32996632996633,0.8327438334623972,20
llama3_1b,5,7.305978375525107,15.159624773856677,162.83959899749374,0.8451428910096487,20
llama3_8b,1,21.42066458763606,35.31260267365301,125.6453205524634,0.7141971206665039,40
llama3_8b,2,15.423945458018162,37.99234597229171,105.86772486772487,0.8985050400098165,20
llama3_8b,3,11.091338410873362,40.72992180551199,147.65608465608466,0.8900673826535543,20
llama3_8b,4,17.837337294784078,34.844064815769464,85.68181818181819,0.8888121704260508,20
llama3_8b,5,24.969485589237266,45.69390990187114,90.2769744875008,0.9106930553913116,20
mistral,1,16.5130263976546,33.42696167091809,218.73667285095857,0.6987448358535767,40
mistral,2,12.68898943155268,36.40603194857792,188.14285714285714,0.8657962759335837,20
mistral,3,22.691892160126226,50.00782501161083,191.7037037037037,0.8874712526798249,20
mistral,4,17.12731445487923,40.875987729617556,131.01515151515153,0.8783745209376018,20
mistral,5,25.737824441781544,50.56954119860713,156.92661140029563,0.8964491208394368,20
phi3_14b,1,20.816182678249596,37.590800217795596,123.28323026180169,0.7207445907592773,40
phi3_14b,2,15.232396818660241,36.96511156718124,109.17989417989418,0.8844225188096364,20
phi3_14b,3,24.833513528649323,47.26033598031634,234.21693121693121,0.894201385974884,20
phi3_14b,4,17.107526100156182,40.340768591025316,185.0892255892256,0.8774907330671947,20
phi3_14b,5,22.488100979780317,45.87945640418038,183.07525223314698,0.885064971446991,20
phi3_8b,1,11.687725735187138,29.984439334105797,500.0923005565863,0.7109424293041229,40
phi3_8b,2,6.2232399844712845,30.215221819633545,546.7566137566138,0.8608204662799835,20
phi3_8b,3,15.106042287109288,33.61075238540465,601.3650793650794,0.8751108825206756,20
phi3_8b,4,12.58871348408077,37.720505291690266,120.43771043771044,0.8924180269241333,20
phi3_8b,5,10.748658601919168,37.796315530869705,525.3661075766339,0.8809397836526235,20
qwen_14b,1,26.919752584411395,41.96242955733994,130.55477221191506,0.721418080329895,40
qwen_14b,2,26.30543988890014,45.48192961891437,71.15873015873017,0.9116952419281006,20
qwen_14b,3,31.65051916142492,53.129327403965384,83.86772486772486,0.9107741137345632,20
qwen_14b,4,26.166825316166054,54.44337714120754,70.21885521885521,0.9113072017828623,20
qwen_14b,5,35.44363984216816,56.24723943705995,109.46597262386736,0.9082756578922272,20
